,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
267,протокол № 25 от 01.12.2016 г.,01.12.2016,9,"Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме), Артыкбаев О.М., Баатырбеков А.Б. (право голосования передано депутату Токторову А.С. в письменной форме), Матраимов И.И. (право голосования передано депутату Исаеву Т.К. в письменной форме), Молдобекова Г.С. (право голосования передано депутату Кодурановой А.С. в письменной форме), Орозова К.Б. (право голосования передано депутату Карамушкиной И.Ю. в письменной форме), Строкова Е.Г. (право голосования передано депутату Акаеву Ж.К. в письменной форме), Токторов А.С. (право голосования передано депутату Конушбаеву Т.К. в письменной форме), Токтошев Э.Т. (право голосования передано депутату Нышанову С.К. в письменной форме).",http://kenesh.kg/ru/article/show/1119/protokol-25-ot-01-12-2016-g,93,15 минут,93,1 час,67,,112,,,
268,протокол № 24 от 30.11.2016 г.,30.11.2016,6,"Артыкбаев О.М., Баатырбеков А.Б. (право голосования передано депутату Токторову А.С. в письменной форме), Орозова К.Б. (право голосования передано депутату Карамушкиной И.Ю. в письменной форме), Строкова Е.Г. (право голосования передано депутату Акаеву Ж.К. в письменной форме), Токторов А.С. (право голосования передано депутату Конушбаеву Т.К. в письменной форме), Токтошев Э.Т. (право голосования передано депутату Нышанову С.К. в письменной форме).",http://kenesh.kg/ru/article/show/1109/protokol-24-ot-30-11-2016-g,88,15 минут,88,1 час,73,15 минут,69,106,,
269,протокол № 23 от 24.11.2016 г.,24.11.2016,19,"Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме), Алтыбаева А.Т. (право голосования передано депутату Жээнбекову А.Ш. в письменной форме), Арапбаев А.А. (право голосования передано депутату Аманкулову М.А. в письменной форме), Баатырбеков А.Б., Бакиров М.И. (право голосования передано депутату Шайназарову Т.У. в письменной форме), Бекешев Д.Д. (право голосования передано депутату Сурабалдиевой Э.Ж. в письменной форме), Бокоев К.С., Джакупова Ч.И. (право голосования передано депутату Абдылдаеву М.Ю. в письменной форме), Джураев С.М. (право голосования передано депутату Маннанову И.А. в письменной форме), Жылкыбаев У.К. (право голосования передано депутату Молдобековой Г.С. в письменной форме), Иманалиев К.К. (право голосования передано депутату Сулейманову Б.И. в письменной форме), Исаков М.А. (право голосования передано депутату Матраимову И.И. в письменной форме), Исаева Д.Ш. (право голосования передано депутату Абжалиеву А.Т. в письменной форме), Казакбаев Р.А., Калмаматов Ж.А. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Мадеминов М.Г. (право голосования передано депутату Исаеву Т.К. в письменной форме), Никитенко Н.В. (право голосования передано депутату Мамашовой А.Т. в письменной форме), Сабиров М.Э., Турсунбеков Ч.А.",http://kenesh.kg/ru/article/show/1067/protokol-23-ot-24-11-2016-g,93,15 минут,108,1 час,110,,112,,,
270,протокол № 22 от 23.11.2016 г.,23.11.2016,27,"Абжалиев А.Т. (право голосования передано депутату Бабанову О.Т. в письменной форме), Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме), Алтыбаева А.Т. (право голосования передано депутату Жээнбекову А.Ш. в письменной форме), Арапбаев А.А. (право голосования передано депутату Аманкулову М.А. в письменной форме), Баймуратов К.Ш. (право голосования передано депутату Казакбаеву Р.А. в письменной форме), Бекешев Д.Д. (право голосования передано депутату Сурабалдиевой Э.Ж. в письменной форме), Джакупова Ч.И. (право голосования передано депутату Абдылдаеву М.Ю. в письменной форме), Джураев С.М. (право голосования передано депутату Маннанову И.А. в письменной форме), Жылкыбаев У.К. (право голосования передано депутату Молдобековой Г.С. в письменной форме), Зулушев К.Т. (право голосования передано депутату Мамытову Т.Т. в письменной форме), Ибраимжанов Б.С. (право голосования передано депутату Сабирову М.Э. в письменной форме), Иманалиев К.К. (право голосования передано депутату Сулейманову Б.И. в письменной форме), Исаева Д.Ш. (право голосования передано депутату Тиллаеву Т.Г. в письменной форме), Исаков М.А. (право голосования передано депутату Матраимову И.И. в письменной форме), Калмаматов Ж.А. (право голосования передано депутату Турсунбаеву А.А. в письменной форме), Каримов Н.Т. (право голосования передано депутату Маннанову И.А. в письменной форме), Конушбаев Т.К. (право голосования передано депутату Айдарову С.А. в письменной форме), Мавлянова М.Э. (право голосования передано депутату Бабанову О.Т. в письменной форме), Мадеминов М.Г. (право голосования передано депутату Исаеву Т.К. в письменной форме), Мусабекова Ж.А. (право голосования передано депутату Кодурановой А.С. в письменной форме), Никитенко Н.В. (право голосования передано депутату Мамашовой А.Т. в письменной форме), Самигуллина А.Э. (право голосования передано депутату Примову У.Б. в письменной форме), Строкова Е.Г. (право голосования передано депутату Аманкулову М.А. в письменной форме), Сыдыков Б.У. (право голосования передано депутату Казакбаеву Р.А. в письменной форме), Токтошев Э.Т. (право голосования передано депутату Нышанову С.К. в письменной форме), Шыкмаматов А.Н. (право голосования передано депутату Иманалиеву К.К. в письменной форме), Чолпонбаев У.С. (право голосования передано депутату Бокоеву К.С. в письменной форме).",http://kenesh.kg/ru/article/show/1064/protokol-22-ot-23-11-2016-g,106,1 час,95,,,,,,,
271,протокол № 21 от 17.11.2016 г.,17.11.2016,10,"Алтыбаева А.Т. (право голосования передано депутату Орозовой К.Б. в письменной форме), Арапбаев А.А., Бакиров М.И., Бокоев К.С. (право голосования передано депутату Бабанову О.Т. в письменной форме), Жапаров А.У. (право голосования передано депутату Сулайманову А.Т. в письменной форме), Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Мамытову Т.Т. в письменной форме), Нурбаев А.М., Салянова А.Ж. (право голосования передано депутату Никитенко Н.В. в письменной форме), Сурабалдиева Э.Ж. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/1016/protokol-21-ot-17-11-2016-g,95,15 минут,88,1 час,108,15 минут,102,111,,
272,протокол № 20 от 16.11.2016 г.,16.11.2016,7,"Арапбаев А.А., Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Бокоев К.С. (право голосования передано депутату Бабанову О.Т. в письменной форме), Жапаров А.У. (право голосования передано депутату Сулайманову А.Т. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Мамытову Т.Т. в письменной форме), Салянова А.Ж. (право голосования передано депутату Никитенко Н.В. в письменной форме), Сурабалдиева Э.Ж. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/1010/protokol-20-ot-16-11-2016-g,96,15 минут,75,1 час,114,15 минут,113,98,,
273,протокол № 19 от 10.11.2016 г.,10.11.2016,8,"Жутанов А.Т. (право голосования передано депутату Жамалдинову З.И. в письменной форме),  Жылкыбаев У.К. (право голосования передано депутату Арапбаеву А.А. в письменной форме), Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Масалиев И.А. (право голосования передано депутату Жамалдинову З.И. в письменной форме), Мусабекова Ж.А. (право голосования передано депутату Кодурановой А.С. в письменной форме), Сыдыков Б.У. (право голосования передано депутату Ибраимжанову Б.С. в письменной форме), Шайназаров Т.У. (право голосования передано депутату Бакирову М.И. в письменной форме), Шер-Нияз С.",http://kenesh.kg/ru/article/show/966/protokol-19-ot-10-11-2016-g,97,15 минут,109,1 час,114,15 минут,107,70,,
274,протокол № 18 от 09.11.2016 г.,09.11.2016,15,"Жунус уулу Адыл (право голосования передано депутату Алтынбекову А. в письменной форме), Жылкыбаев У.К. (право голосования передано депутату Арапбаеву А.А. в письменной форме), Иминов Ф.А. (право голосования передано депутату Бабанову О.Т. по вопросу «Об утверждении программы деятельности, определении структуры и состава Правительства Кыргызской Республики, представленных кандидатом на должность Премьер-министра Кыргызской Республики Жээнбековым С.Ш.»), Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Масалиев И.А. (право голосования передано депутату Жамалдинову З.И. в письменной форме), Мусабекова Ж.А. (право голосования передано депутату Кодурановой А.С. в письменной форме), Нишанов Н.Н. (право голосования передано депутату Мамытову Т.Т. в письменной форме), Сабиров М.Э. (право голосования передано депутату Бабанову О.Т. в письменной форме), Сыдыков Б.У. (право голосования передано депутату Ибраимжанову Б.С. по вопросу «Об утверждении программы деятельности, определении структуры и состава Правительства Кыргызской Республики, представленных кандидатом на должность Премьер-министра Кыргызской Республики Жээнбековым С.Ш.»), Шер-Нияз С., Юсуров А.Л. (право голосования передано депутату Торобаеву Б.Э. в письменной форме).",http://kenesh.kg/ru/article/show/963/protokol-18-ot-09-11-2016-g,112,15 минут,113,1 час,115,15 минут,115,116,,
275,протокол № 17 от 03.11.2016 г.,03.11.2016,11,"Жолдошбаев К., Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Калмаматов Ж.А. (право голосования передано депутату Масабирову Т.А. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Омурбековой А.С. в письменной форме), Мамашова А.Т. (право голосования передано депутату Нышанову С.К. в письменной форме), Масалиев И.А., Мамытов Т.Т. (право голосования передано депутату Нишанову Н.Н. в письменной форме), Никитенко Н.В. (право голосования передано депутату Саляновой А.Ж. в письменной форме), Самигуллина А.Э. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Субанбеков Б.Ж., Шер-Нияз С.",http://kenesh.kg/ru/article/show/911/protokol-17-ot-03-11-2016-g,93,15 минут,77,1 час,72,,107,,,
276,протокол № 16 от 02.11.2016 г.,02.11.2016,12,"Жолдошбаев К., Исаева Д.Ш. (право голосования передано депутату Мавляновой М.Э. в письменной форме), Калмаматов Ж.А. (право голосования передано депутату Масабирову Т.А. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Омурбековой А.С. в письменной форме), Маматов А., Мамашова А.Т. (право голосования передано депутату Нышанову С.К. в письменной форме), Масалиев И.А., Мамытов Т.Т. (право голосования передано депутату Нишанову Н.Н. в письменной форме), Никитенко Н.В. (право голосования передано депутату Саляновой А.Ж. в письменной форме), Субанбеков Б.Ж., Токтошев Э.Т., Шер-Нияз С.",http://kenesh.kg/ru/article/show/862/protokol-16-ot-02-11-2016-g,81,15 минут,104,1 час,102,,104,,,
