from_dep,to_dep,
Баймуратов К.Ш.,Сыдыкову Б.У.,1
Баймуратов К.Ш.,Жеенчороеву М.К.,1
Байбакпаев Э.Дж.,Абжалиеву А.Т.,1
Бабанов О.Т.,Сыдыкову Б.У.,1
Бабанов О.Т.,Сабирову М.Э.,1
Бабанов О.Т.,Омурбековой А.С.,1
Баатырбеков А.Б.,Конушбаеву Т.К.,1
Баатырбеков А.Б.,Айдарову С.А.,1
Аттокуров Д.Б.,Аманкулову М.А.,1
Асылбаева Г.К.,Султанову А.М.,1
Иминов Ф.А.,Алтынбекову А.,1
Иминов Ф.А.,Казакбаеву Р.А.,1
Иминов Ф.А.,Тиллаеву Т.Г.,1
Мусаев Н.И.,Алыбаеву О.А.,1
Момбеков Р.Ч.,Алтыбаевой А.Т.,1
Матраимов И.И.,Примову У.Б.,1
Матраимов И.И.,Мусабековой Ж.А.,1
Матраимов И.И.,Исаеву Т.К.,1
Маннанов И.А.,Омуркулову И.Ш.,1
Маннанов И.А.,Касымалиевой А.К.,1
Маннанов И.А.,Исакову М.А.,1
Маннанов И.А.,Жээнбекову А.Ш.,1
Маннанов И.А.,Джураеву С.М.,1
Маннанов И.А.,Бакирову О.М.,1
Мамытов Т.Т.,Мавляновой М.Э.,1
Мамытов Т.Т.,Бабанову О.Т.,1
Мамашова А.Т.,Маматову А.,1
Мамашова А.Т.,Гайпкулову И.Т.,1
Маматов А.М.,Шыкмаматову А.Н.,1
Маматов А.М.,Токтошеву Э.Т.,1
Маматалиев М.А.,Турускулову Ж.К.,1
Мусабекова Ж.А.,Аттокурову Д.Б.,1
Мусаев Н.И.,Самаеву У.О.,1
Исаев К.К.,Алыбаеву О.А.,1
Назаров А.К.,Нурматову К.С.,1
Примов У.Б.,Зулпукарову Т.З.,1
Примов У.Б.,Жетигенову Б.Ж.,1
Пирматов И.А.,Торокулову Д.Г.,1
Пирматов И.А.,Нурбаеву А.М.,1
Осмонова А.Ш.,Орозовой К.Б.,1
Осмонова А.Ш.,Джураеву С.М.,1
Ормонов У.З.,Чудинову И.В.,1
Ормонов У.З.,Торокулову Д.Г.,1
Ормонов У.З.,Тагаеву Э.С.,1
Омуркулов И.Ш.,Керезбекову К.К.,1
Омуркулов И.Ш.,Касымалиевой А.К.,1
Нышанов С.К.,Шыкмаматову А.Н.,1
Нышанов С.К.,Токтошеву Э.Т.,1
Нишанов Н.Н.,Тиллаеву Т.Г.,1
Нишанов Н.Н.,Жамангулову А.Ж.,1
Нишанов Н.Н.,Бабанову О.Т.,1
Назаров А.К.,Толонову Д.Э.,1
Абжалиев А.Т.,Мавляновой М.Э.,1
Мадеминов М.Г.,Омуркулову И.Ш.,1
Мавлянова М.Э.,Шарапову З.Э.,1
Мавлянова М.Э.,Тиллаеву Т.Г.,1
Калмаматов Ж.А.,Баатырбекову А.Б.,1
Казакбаев Р.А.,Омурбековой А.С.,1
Казакбаев Р.А.,Мамытову Т.Т.,1
Казакбаев Р.А.,Кыдыралиеву У.Т.,1
Кадыркулов И.А.,Джураеву С.М.,1
Исмаилова А.Ж.,Шарапову З.Э.,1
Исмаилова А.Ж.,Туманбаевой Р.М.,1
Исмаилова А.Ж.,Зулушеву К.Т.,1
Исмаилова А.Ж.,Бабанову О.Т.,1
Исмаилова А.Ж.,Абжалиеву А.Т.,1
Исаков М.А.,Маннанову И.А.,1
Исаков М.А.,Каримову Н.Т.,1
Исаева Д.Ш.,Турускулову Ж.К.,1
Исаева Д.Ш.,Тулендыбаеву П.Р.,1
Исаева Д.Ш.,Тиллаеву Т.Г.,1
Исаев Т.К.,Жылкыбаеву У.К.,1
Исаев К.К.,Джумабекову Д.А.,1
Калмаматов Ж.А.,Бабанову О.Т.,1
Карамушкина И.Ю.,Артыкбаеву О.М.,1
Карашев А.А.,Артыкбаеву О.М.,1
Кулбараков А.И.,Молдобековой Г.С.,1
Мавлянова М.Э.,Мамытову Т.Т.,1
Мавлянова М.Э.,Зулушеву К.Т.,1
Мавлянова М.Э.,Бабанову О.Т.,1
Кыдыралиев У.Т.,Казакбаеву Р.А.,1
Кыдыралиев У.Т.,Жеенчороеву М.К.,1
Кулбараков А.И.,Омуркулову И.Ш.,1
Кулбараков А.И.,Нурбаеву А.М.,1
Конушбаев Т.К.,Айдарову С.А.,1
Каримов Н.Т.,Маннанову И.А.,1
Кодуранова А.С.,Омуркулову И.Ш.,1
Кодуранова А.С.,Керезбекову К.К.,1
